ID,Description,ObjCount,ObjAttr,OORel,OARel,Difficulty,SceneScope
165,"A designer kitchen with a matte black fridge against a wall, an avant garde stove next to the fridge, a circular marble table at the center of the room, and a minimalist wooden chair facing the table.","eq,1,fridge; eq,1,stove; eq,1,table; eq,1,chair","eq,1,fridge,matte_black; eq,1,stove,avant_garde; eq,1,table,circular; eq,1,table,marble; eq,1,chair,minimalist; eq,1,chair,wooden","eq,1,next_to,0,stove,fridge; eq,1,facing,0,table,chair","eq,1,against,fridge,wall; eq,1,middle,table,room",easy,single_room
166,"A bathroom with a vanity against the back wall, a toilet next to the vanity, and a bathtub across from the vanity.","eq,1,vanity; eq,1,toilet; eq,1,bathtub",,"eq,1,next,0,vanity,toilet; eq,1,across,0,vanity,bathtub","eq,1,against,vanity,wall",easy,single_room
167,"A bathroom with a vanity against the back wall, a mirror hanging above the vanity on the wall, a toilet next to the vanity, and a bathtub across from the vanity.","eq,1,vanity; eq,1,mirror; eq,1,toilet; eq,1,bathtub",,"eq,1,next,0,vanity,toilet; eq,1,above,0,vanity,mirror; eq,1,across,0,vanity,bathtub","eq,1,against,vanity,wall; eq,1,on,mirror,wall",easy,single_room
168,"A bathroom with a floating vanity against the wall, two round mirrors hanging above the vanity, and a toilet tucked into a corner","eq,1,vanity; eq,2,mirror; eq,1,toilet","eq,1,vanity,floating; eq,2,mirror,round","eq,2,above,0,vanity,mirror","eq,1,against,vanity,wall; eq,2,on,mirror,wall; eq,1,corner,toilet,room",easy,single_room
169,"A bathroom with a dual sink vanity against the wall, a long mirror hanging above the vanity on the wall, and a fancy freestanding bathtub facing the vanity","eq,1,vanity; eq,1,mirror; eq,1,bathtub","eq,1,vanity,dual_sink; eq,1,mirror,long; eq,1,bathtub,fancy; eq,1,bathtub,freestanding","eq,1,above,0,vanity,mirror; eq,1,facing,0,bathtub,vanity","eq,1,against,vanity,wall; eq,1,on,mirror,wall",easy,single_room
170,"A bathroom with a small vanity against the wall, a small low wooden cabinet next to the vanity, and a toilet across from the vanity","eq,1,vanity; eq,1,cabinet; eq,1,toilet","eq,1,vanity,small; eq,1,cabinet,small; eq,1,cabinet,low; eq,1,cabinet,wooden","eq,1,next,0,vanity,cabinet; eq,1,across,0,vanity,toilet","eq,1,against,vanity,wall",easy,single_room
171,"Immediately upon entering, a quirky toilet occupies the space beside the door, followed by a compact vanity adjacent to it, while a deep bathtub nestles into the far corner of the room","eq,1,toilet; eq,1,vanity; eq,1,bathtub","eq,1,vanity,compact; eq,1,bathtub,deep","eq,1,next,0,toilet,vanity","eq,1,next_to,toilet,door; eq,1,corner,bathtub,room",easy,single_room
172,"In a master bathroom with modern luxury design, a floating vanity graces the wall, a luxury jet tub fills the corner, and a streamlined toilet stands beside the vanity","eq,1,vanity; eq,1,bathtub; eq,1,toilet","eq,1,vanity,floating; eq,1,bathtub,luxury; eq,1,bathtub,jet; eq,1,toilet,streamlined","eq,1,next,0,vanity,toilet","eq,1,against,vanity,wall; eq,1,corner,bathtub,room",easy,single_room
173,"Anchored to the wall, an old small plastic frame mirror hangs above an oldschool sink, and a plastic floor rack stands beside the sink","eq,1,mirror; eq,1,sink; eq,1,floor_rack","eq,1,mirror,old; eq,1,mirror,small; eq,1,mirror,plastic_frame; eq,1,sink,oldschool; eq,1,floor_rack,plastic","eq,1,above,0,sink,mirror; eq,1,next,0,sink,floor_rack","eq,1,on,mirror,wall",easy,single_room
174,"Against one wall sits a polished wall-mounted vanity, a sleek toilet stands alongside it, and across the room a matte-finish bathtub occupies the corner","eq,1,vanity; eq,1,toilet; eq,1,bathtub","eq,1,vanity,polished; eq,1,vanity,wall_mounted; eq,1,toilet,sleek; eq,1,bathtub,matte_finish","eq,1,next,0,vanity,toilet; eq,1,across,0,vanity,bathtub","eq,1,against,vanity,wall; eq,1,corner,bathtub,room",easy,single_room
175,"Black dominates the bathroom: a floating vanity, a matching toilet, and a clawfoot bathtub stand in the room, with a small square white fluffy rug centered in the room","eq,1,vanity; eq,1,toilet; eq,1,bathtub; eq,1,rug","eq,1,vanity,floating; eq,1,vanity,black; eq,1,toilet,black; eq,1,bathtub,clawfoot; eq,1,bathtub,black; eq,1,rug,small; eq,1,rug,square; eq,1,rug,white; eq,1,rug,fluffy",,"eq,1,center,rug,room",easy,single_room
176,"Decked in sunshine yellow, this rubber duck lover's bathroom features a duck-shaped toilet by the entrance, a glossy yellow vanity against the wall, and a vintage clawfoot bathtub in the corner","eq,1,toilet; eq,1,vanity; eq,1,bathtub","eq,1,toilet,duck_shaped; eq,1,vanity,glossy; eq,1,vanity,yellow; eq,1,bathtub,vintage; eq,1,bathtub,clawfoot",,"eq,1,next_to,toilet,door; eq,1,against,vanity,wall; eq,1,corner,bathtub,room",easy,single_room
177,"A basement converted into a simple gym with a treadmill along one wall, a weight bench near the center, and a punching bag hanging from the ceiling","eq,1,treadmill; eq,1,weight_bench; eq,1,punching_bag",,,"eq,1,against,treadmill,wall; eq,1,middle,weight_bench,room; eq,1,hang,punching_bag,ceiling",easy,single_room
178,"The basement has been transformed into a laundry room featuring a front-loading washing machine next to a matching dryer, with a metal drying rack positioned beside a utility sink.","eq,1,washing_machine; eq,1,dryer; eq,1,drying_rack; eq,1,utility_sink","eq,1,washing_machine,front_loading; eq,1,dryer,front_loading; eq,1,drying_rack,metal","eq,1,next,0,washing_machine,dryer; eq,1,beside,0,utility_sink,drying_rack",,easy,single_room
179,Basement storage hosts three metal shelving racks placed against the walls and a solid wooden workbench standing in the center.,"eq,3,shelving_rack; eq,1,workbench","eq,3,shelving_rack,metal; eq,1,workbench,wooden; eq,1,workbench,solid",,"eq,3,against,shelving_rack,wall; eq,1,middle,workbench,room",easy,single_room
180,Basement space set up for yoga features three cushioned yoga mats laid out on the floor and a large television mounted on the wall.,"eq,3,yoga_mat; eq,1,television","eq,3,yoga_mat,cushioned; eq,1,television,large",,"eq,1,on,television,wall",easy,single_room
181,"Basement transformed into a practice studio contains a full drum set, an electric guitar resting on the wall, and a large speaker mounted on the wall.","eq,1,drum_set; eq,1,guitar; eq,1,speaker","eq,1,drum_set,full; eq,1,guitar,electric; eq,1,speaker,large",,"eq,1,against,guitar,wall; eq,1,on,speaker,wall",easy,single_room
182,"Basement transformed into a secret casino showcases a round poker table covered in emerald felt at the center, a polished mahogany bar table positioned against the far wall, and a single leather-upholstered bar stool tucked beside the bar.","eq,1,poker_table; eq,1,bar_table; eq,1,bar_stool","eq,1,poker_table,round; eq,1,poker_table,emerald_felt; eq,1,bar_table,polished_mahogany; eq,1,bar_stool,leather_upholstered","eq,1,beside,0,bar_table,bar_stool","eq,1,middle,poker_table,room; eq,1,against,bar_table,wall",easy,single_room
183,"Basement home theater shows a very large wall-mounted television dominating one wall, a spacious sectional sofa with deep cushions positioned opposite the screen for lounging or sleeping, and two sleek floor-standing speakers flanking the TV.","eq,1,television; eq,1,sofa; eq,2,speaker","eq,1,television,large; eq,1,television,wall_mounted; eq,1,sofa,sectional; eq,1,sofa,spacious; eq,1,sofa,deep_cushioned; eq,2,speaker,sleek; eq,2,speaker,floor_standing","eq,1,facing,0,sofa,television; eq,1,left,0,television,speaker; eq,1,right,0,television,speaker","eq,1,on,television,wall",easy,single_room
184,"Basement storage appears chaotic with two very large cardboard boxes in a corner, an old wooden bookshelf leaning against a wall, and a wide industrial metal rack spanning another wall.","eq,2,box; eq,1,bookshelf; eq,1,metal_rack","eq,2,box,very_large; eq,2,box,cardboard; eq,1,bookshelf,old; eq,1,bookshelf,wooden; eq,1,metal_rack,wide; eq,1,metal_rack,industrial; eq,1,metal_rack,metal",,"eq,2,corner,box,room; eq,1,against,bookshelf,wall; eq,1,against,metal_rack,wall",easy,single_room
185,Basement hobby room features three wide glass display cabinets lined the walls and a plush large circular rug centered on the floor.,"eq,3,display_cabinet; eq,1,rug","eq,3,display_cabinet,wide; eq,3,display_cabinet,glass; eq,1,rug,plush; eq,1,rug,large; eq,1,rug,circular",,"eq,3,against,display_cabinet,wall; eq,1,middle,rug,room",easy,single_room
186,Basement storage dedicated to holiday decorations features a tall pre-lit artificial Christmas tree standing beside a wide industrial metal rack and a large LED snowman figure positioned on the floor next to the rack.,"eq,1,Christmas_tree; eq,1,metal_rack; eq,1,snowman","eq,1,Christmas_tree,tall; eq,1,Christmas_tree,pre_lit; eq,1,Christmas_tree,artificial; eq,1,metal_rack,wide; eq,1,metal_rack,industrial; eq,1,metal_rack,metal; eq,1,snowman,large; eq,1,snowman,LED","eq,1,beside,0,Christmas_tree,metal_rack; eq,1,next,0,snowman,metal_rack",,easy,single_room
187,"Basement wine cellar presents a tall wrought iron wine rack aligned against a wall, a sturdy oak tasting table centered on the floor, and a large stone barrel placed beside the table.","eq,1,wine_rack; eq,1,tasting_table; eq,1,barrel","eq,1,wine_rack,tall; eq,1,wine_rack,wrought_iron; eq,1,tasting_table,sturdy; eq,1,tasting_table,oak; eq,1,barrel,large; eq,1,barrel,stone","eq,1,beside,0,tasting_table,barrel","eq,1,against,wine_rack,wall; eq,1,middle,tasting_table,room",easy,single_room
188,"In the den, a modern wooden desk sits against the far wall facing a leather swivel chair. A tall bookcase stands beside the desk.","eq,1,desk; eq,1,chair; eq,1,bookcase","eq,1,desk,modern; eq,1,desk,wooden; eq,1,chair,leather; eq,1,chair,swivel; eq,1,bookcase,tall","eq,1,facing,0,desk,chair; eq,1,beside,0,desk,bookcase","eq,1,against,desk,wall",easy,single_room
189,Cozy den reading room with a tall oak bookshelf standing beside the entry door and a large plush bean bag positioned nearby for comfortable reading.,"eq,1,bookshelf; eq,1,bean_bag","eq,1,bookshelf,tall; eq,1,bookshelf,oak; eq,1,bean_bag,large; eq,1,bean_bag,plush","eq,1,near,0,bookshelf,bean_bag","eq,1,beside,bookshelf,door",easy,single_room
190,"In the den, a plush velvet armchair faces a carved mahogany bookshelf set against the back wall. Beside the armchair, an ornate oak side table stands ready for books and tea.","eq,1,armchair; eq,1,bookshelf; eq,1,side_table","eq,1,armchair,plush; eq,1,armchair,velvet; eq,1,bookshelf,carved; eq,1,bookshelf,mahogany; eq,1,side_table,ornate; eq,1,side_table,oak","eq,1,facing,0,bookshelf,armchair; eq,1,beside,0,armchair,side_table","eq,1,against,bookshelf,wall",easy,single_room
191,"Cozy den-turned study with a vintage oak desk near the entry door, a padded leather swivel chair away from the desk, a tall steel bookcase lining the back wall, and a compact wooden filing cabinet beside the desk.","eq,1,desk; eq,1,chair; eq,1,bookcase; eq,1,filing_cabinet","eq,1,desk,vintage; eq,1,desk,oak; eq,1,chair,padded; eq,1,chair,leather; eq,1,chair,swivel; eq,1,bookcase,tall; eq,1,bookcase,steel; eq,1,filing_cabinet,compact; eq,1,filing_cabinet,wooden","eq,1,away,0,desk,chair; eq,1,beside,0,desk,filing_cabinet","eq,1,near,desk,door; eq,1,against,bookcase,wall",easy,single_room
192,"In the den, a minimalist steel frame desk with a glass top stands centered. A black ergonomic mesh chair is neatly placed facing the desk. Above the desk, a floating oak shelf is affixed to the wall.","eq,1,desk; eq,1,chair; eq,1,shelf","eq,1,desk,minimalist; eq,1,desk,steel_frame; eq,1,desk,glass_top; eq,1,chair,black; eq,1,chair,ergonomic; eq,1,chair,mesh; eq,1,shelf,floating; eq,1,shelf,oak","eq,1,facing,0,desk,chair; eq,1,above,0,desk,shelf","eq,1,center,desk,room; eq,1,on,shelf,wall",easy,single_room
193,"In the den, a sleek low-profile platform daybed sits against a wall, and a modern leather recliner faces the daybed.","eq,1,daybed; eq,1,recliner","eq,1,daybed,sleek; eq,1,daybed,low_profile; eq,1,daybed,platform; eq,1,recliner,modern; eq,1,recliner,leather","eq,1,facing,0,daybed,recliner","eq,1,against,daybed,wall",easy,single_room
194,"In the den, a sleek electric treadmill stands against the back wall, and a multi_level wooden cat tree sits adjacent to it.","eq,1,treadmill; eq,1,cat_tree","eq,1,treadmill,sleek; eq,1,treadmill,electric; eq,1,cat_tree,multi_level; eq,1,cat_tree,wooden","eq,1,beside,0,treadmill,cat_tree","eq,1,against,treadmill,wall",easy,single_room
195,"In the den, a sleek walnut desk stands centered. A black leather swivel chair faces the desk, and a large white modular drawer unit stands against the back wall beside the desk.","eq,1,desk; eq,1,chair; eq,1,drawer_unit","eq,1,desk,sleek; eq,1,desk,walnut; eq,1,chair,black; eq,1,chair,leather; eq,1,chair,swivel; eq,1,drawer_unit,large; eq,1,drawer_unit,white; eq,1,drawer_unit,modular","eq,1,facing,0,desk,chair; eq,1,beside,0,desk,drawer_unit","eq,1,center,desk,room; eq,1,against,drawer_unit,wall",easy,single_room
196,"In the den, a modern white desk stands against the back wall. A black mesh office chair faces the desk, and a compact gray convertible sofa bed sits in the corner with a ceiling lamp above.","eq,1,desk; eq,1,chair; eq,1,sofa_bed; eq,1,ceiling_lamp","eq,1,desk,modern; eq,1,desk,white; eq,1,chair,black; eq,1,chair,mesh; eq,1,sofa_bed,compact; eq,1,sofa_bed,gray; eq,1,sofa_bed,convertible","eq,1,facing,0,desk,chair; eq,1,above,0,sofa_bed,ceiling_lamp","eq,1,against,desk,wall; eq,1,corner,sofa_bed,room; eq,1,hang_from,ceiling_lamp,ceiling",easy,single_room
197,"In the den, three tall walnut bookshelves stand along the walls, and a sleek oak reading desk occupies the center of the room.","eq,3,bookshelf; eq,1,reading_desk","eq,3,bookshelf,tall; eq,3,bookshelf,walnut; eq,1,reading_desk,sleek; eq,1,reading_desk,oak",,"eq,3,against,bookshelf,wall; eq,1,center,reading_desk,room",easy,single_room
198,"In the den, a low cedar meditation bench stands centered. A bamboo altar table rests against the back wall, and a tall shoji screen stands behind the bench.","eq,1,meditation_bench; eq,1,altar_table; eq,1,shoji_screen","eq,1,meditation_bench,low; eq,1,meditation_bench,cedar; eq,1,altar_table,bamboo; eq,1,shoji_screen,tall","eq,1,behind,0,meditation_bench,shoji_screen","eq,1,center,meditation_bench,room; eq,1,against,altar_table,wall",easy,single_room
199,"A tidy professional office with a large wooden desk facing a black leather swivel chair, a tall metal filing cabinet placed against the back wall, and a floor-to-ceiling bookshelf standing next to the cabinet.","eq,1,desk; eq,1,chair; eq,1,filing_cabinet; eq,1,bookshelf","eq,1,desk,wooden; eq,1,desk,large; eq,1,chair,black; eq,1,chair,leather; eq,1,chair,swivel; eq,1,filing_cabinet,tall; eq,1,filing_cabinet,metal; eq,1,bookshelf,floor_to_ceiling","eq,1,face,0,desk,chair; eq,1,next_to,0,filing_cabinet,bookshelf","eq,1,against,filing_cabinet,wall",easy,single_room
200,Sunlit office featuring a sleek glass desk flanked by two walnut chairs and a tall oak credenza positioned against the back wall.,"eq,1,desk; eq,2,chair; eq,1,credenza","eq,1,desk,glass; eq,1,desk,sleek; eq,2,chair,walnut; eq,1,credenza,oak; eq,1,credenza,tall","eq,2,next,0,desk,chair","eq,1,against,credenza,wall",easy,single_room
201,"Sunlit office centered around a dark brown L-shaped desk with a black mesh task chair positioned next to it, a gray metal filing cabinet on the left of the desk, and a natural oak sideboard placed in the far corner.","eq,1,desk; eq,1,chair; eq,1,filing_cabinet; eq,1,sideboard","eq,1,desk,dark_brown; eq,1,desk,l_shaped; eq,1,chair,black; eq,1,chair,mesh; eq,1,chair,task; eq,1,filing_cabinet,gray; eq,1,filing_cabinet,metal; eq,1,sideboard,natural; eq,1,sideboard,oak","eq,1,next,0,desk,chair; eq,1,left,0,desk,filing_cabinet","eq,1,middle,desk,room; eq,1,corner,sideboard,room",easy,single_room
202,"Bright executive office with a walnut desk at the center, a black leather task chair positioned facing the desk, a round glass coffee table placed nearby the desk, and a taupe velvet armchair set beside the coffee table.","eq,1,desk; eq,1,chair; eq,1,coffee_table; eq,1,armchair","eq,1,desk,walnut; eq,1,chair,black; eq,1,chair,leather; eq,1,chair,task; eq,1,coffee_table,round; eq,1,coffee_table,glass; eq,1,armchair,taupe; eq,1,armchair,velvet","eq,1,face,0,desk,chair; eq,1,near,0,desk,coffee_table; eq,1,next,0,coffee_table,armchair","eq,1,middle,desk,room",easy,single_room
203,"Sunlit office showcasing a sleek white desk centered in the room, a charcoal ergonomic chair pulled over beside a tall walnut bookshelf, and a large green potted plant standing by the door.","eq,1,desk; eq,1,chair; eq,1,bookshelf; eq,1,potted_plant","eq,1,desk,white; eq,1,desk,sleek; eq,1,chair,charcoal; eq,1,chair,ergonomic; eq,1,bookshelf,tall; eq,1,bookshelf,walnut; eq,1,potted_plant,large; eq,1,potted_plant,green","eq,1,next,0,bookshelf,chair","eq,1,middle,desk,room; eq,1,next,potted_plant,door",easy,single_room
204,"Sunlit office anchored by a mid-century modern walnut desk centered in the room, a cream leather swivel chair placed facing it, a towering sisal-wrapped cat tree standing next to the window, and a distressed pine sideboard positioned against the far wall.","eq,1,desk; eq,1,chair; eq,1,cat_tree; eq,1,sideboard","eq,1,desk,mid_century_modern; eq,1,desk,walnut; eq,1,chair,cream; eq,1,chair,leather; eq,1,chair,swivel; eq,1,cat_tree,towering; eq,1,cat_tree,sisal_wrapped; eq,1,sideboard,distressed; eq,1,sideboard,pine","eq,1,face,0,desk,chair","eq,1,middle,desk,room; eq,1,near,cat_tree,window; eq,1,against,sideboard,wall",easy,single_room
205,"Returning from a morning sprint, the CEO's sunlit office features a sleek steel desk centered in the room, a black leather swivel chair placed facing it, a heavy duty treadmill set beside the desk near the window, and a glass front trophy cabinet resting against the back wall.","eq,1,desk; eq,1,chair; eq,1,treadmill; eq,1,trophy_cabinet","eq,1,desk,steel; eq,1,desk,sleek; eq,1,chair,black; eq,1,chair,leather; eq,1,chair,swivel; eq,1,treadmill,heavy_duty; eq,1,trophy_cabinet,glass_front","eq,1,face,0,desk,chair; eq,1,next,0,desk,treadmill","eq,1,middle,desk,room; eq,1,near,treadmill,window; eq,1,against,trophy_cabinet,wall",easy,single_room
206,"After a morning character sketch session, the anime company CEO's sunlit office features a tempered glass drafting table centered in the space, a pastel pink ergonomic swivel chair facing the table, a vibrant red lacquered storage credenza placed against the back wall, and a cherry wood easel standing next to the window.","eq,1,drafting_table; eq,1,chair; eq,1,credenza; eq,1,easel","eq,1,drafting_table,tempered_glass; eq,1,chair,pastel_pink; eq,1,chair,ergonomic; eq,1,chair,swivel; eq,1,credenza,vibrant; eq,1,credenza,red; eq,1,credenza,lacquered; eq,1,credenza,storage; eq,1,easel,cherry_wood","eq,1,facing,0,drafting_table,chair","eq,1,middle,drafting_table,room; eq,1,against,credenza,wall; eq,1,near,easel,window",easy,single_room
207,"After finalizing the new sedan design, the chairman's sunlit office boasts a curved glass desk centered in the room, a caramel leather executive swivel chair pulled up to the desk, a tall black steel display cabinet against the back wall, and a deep blue tufted leather sofa placed beside the desk.","eq,1,desk; eq,1,chair; eq,1,display_cabinet; eq,1,sofa","eq,1,desk,curved; eq,1,desk,glass; eq,1,chair,caramel; eq,1,chair,leather; eq,1,chair,executive; eq,1,chair,swivel; eq,1,display_cabinet,tall; eq,1,display_cabinet,black; eq,1,display_cabinet,steel; eq,1,sofa,deep_blue; eq,1,sofa,tufted; eq,1,sofa,leather","eq,1,next,0,desk,chair; eq,1,next,0,desk,sofa","eq,1,middle,desk,room; eq,1,against,display_cabinet,wall",easy,single_room
208,"Fresh from a video conference, the Turing award CS professor's bright office showcases a slate gray adjustable standing desk centered in the room with no chair, a towering mahogany bookcase beside the window, and a brushed steel trophy display case against the far wall highlighting his achievements.","eq,1,standing_desk; eq,1,bookcase; eq,1,trophy_display_case; eq,0,chair","eq,1,standing_desk,slate_gray; eq,1,standing_desk,adjustable; eq,1,bookcase,towering; eq,1,bookcase,mahogany; eq,1,trophy_display_case,brushed_steel",,"eq,1,middle,standing_desk,room; eq,1,near,bookcase,window; eq,1,against,trophy_display_case,wall",easy,single_room
209,"After setting aside his overnight reactions, the Nobel Prize chemist's office features an epoxy-topped lab bench centered in the room, a chrome laboratory stool positioned next to it, a tall glass reagent cabinet standing next to the bench, and a white ducted fume hood positioned near the door.","eq,1,lab_bench; eq,1,stool; eq,1,reagent_cabinet; eq,1,fume_hood","eq,1,lab_bench,epoxy_topped; eq,1,stool,chrome; eq,1,stool,laboratory; eq,1,reagent_cabinet,tall; eq,1,reagent_cabinet,glass; eq,1,fume_hood,white; eq,1,fume_hood,ducted","eq,1,next,0,lab_bench,stool; eq,1,next,0,lab_bench,reagent_cabinet","eq,1,middle,lab_bench,room; eq,1,near,fume_hood,door",easy,single_room
210,"A mid-century modern bedroom with a queen bed against the back wall, two nightstands flanking the bed, a wooden dresser under a round mirror, and a small potted plant sitting on a nightstand.","eq,1,bed; eq,2,nightstand; eq,1,dresser; eq,1,mirror; eq,1,potted_plant","eq,1,bed,queen; eq,1,dresser,wooden; eq,1,mirror,round; eq,1,potted_plant,small","eq,1,left,0,bed,nightstand; eq,1,right,0,bed,nightstand; eq,1,on,0,nightstand,potted_plant; eq,1,under,0,mirror,dresser","eq,1,against,bed,wall; eq,1,on,mirror,wall",medium,single_room
211,"An industrial loft bedroom featuring a king size platform bed, a metal wardrobe beside it, a writing desk with a matching chair, and a desk lamp placed on the desk.","eq,1,bed; eq,1,wardrobe; eq,1,desk; eq,1,chair; eq,1,desk_lamp","eq,1,bed,king_size; eq,1,bed,platform; eq,1,wardrobe,metal; eq,1,desk,writing; eq,1,chair,writing","eq,1,next,0,bed,wardrobe; eq,1,next,0,desk,chair; eq,1,on,0,desk,desk_lamp",,medium,single_room
212,"Cozy cottage style quarters with a twin bed against the wall, a wicker nightstand next to the pillow, a small bookshelf holding one book, and a bedside lamp atop the nightstand.","eq,1,bed; eq,1,nightstand; eq,1,bookshelf; eq,1,book; eq,1,bedside_lamp; eq,1,pillow","eq,1,bed,twin; eq,1,nightstand,wicker; eq,1,bookshelf,small","eq,1,next,0,pillow,nightstand; eq,1,inside,0,bookshelf,book; eq,1,on,0,nightstand,bedside_lamp","eq,1,against,bed,wall",medium,single_room
213,"Minimalist retreat with a low profile double bed, a simple bench at the foot of the bed, a floating shelf on the wall bearing an alarm clock, and a potted cactus nearby.","eq,1,bed; eq,1,bench; eq,1,shelf; eq,1,alarm_clock; eq,1,cactus","eq,1,bed,double; eq,1,bed,low_profile; eq,1,bench,simple; eq,1,shelf,floating; eq,1,cactus,potted","eq,1,foot,0,bed,bench; eq,1,on,0,shelf,alarm_clock; eq,1,near,0,shelf,cactus","eq,1,on,shelf,wall",medium,single_room
214,"Bohemian suite showcasing a four-poster bed draped in fabrics, a vintage dresser across from it, a tall floor mirror leaning on the wall, two floor cushions at the foot of the bed, and a macrame pendant lamp above the bed.","eq,1,bed; eq,1,dresser; eq,1,floor_mirror; eq,2,floor_cushion; eq,1,pendant_lamp","eq,1,bed,four_poster; eq,1,bed,draped_in_fabrics; eq,1,dresser,vintage; eq,1,floor_mirror,tall; eq,1,pendant_lamp,macrame","eq,1,across,0,bed,dresser; eq,2,foot,0,bed,floor_cushion; eq,1,above,0,bed,pendant_lamp","eq,1,leaning,floor_mirror,wall; eq,1,hang,pendant_lamp,ceiling",medium,single_room
215,"Scandinavian inspired bedroom with a single bed, a white bedside table next to it holding a digital alarm clock and a sleek table lamp, and a tall wardrobe in the corner.","eq,1,bed; eq,1,bedside_table; eq,1,alarm_clock; eq,1,table_lamp; eq,1,wardrobe","eq,1,bed,single; eq,1,bedside_table,white; eq,1,alarm_clock,digital; eq,1,table_lamp,sleek; eq,1,wardrobe,tall","eq,1,next,0,bed,bedside_table; eq,1,on,0,bedside_table,alarm_clock; eq,1,on,0,bedside_table,table_lamp","eq,1,corner,wardrobe,room",medium,single_room
216,"Rustic chamber with a queen bed, a wooden chest at the bed's foot, a writing desk paired with a matching chair, a stack of two books on the desk, and a mason jar of flowers perched on the chest.","eq,1,bed; eq,1,chest; eq,1,desk; eq,1,chair; eq,2,book; eq,1,jar_of_flowers","eq,1,bed,queen; eq,1,chest,wooden; eq,1,desk,writing; eq,1,chair,writing; eq,1,jar_of_flowers,mason","eq,1,foot,0,bed,chest; eq,1,next,0,desk,chair; eq,2,on,0,desk,book; eq,1,on,0,chest,jar_of_flowers",,medium,single_room
217,"Modern loft bedroom containing a king bed with built-in drawers, two round bedside stools, a wall-mounted bookshelf with one book, and a small desk lamp on a stool.","eq,1,bed; eq,2,stool; eq,1,bookshelf; eq,1,book; eq,1,desk_lamp","eq,1,bed,king; eq,1,bed,built_in_drawers; eq,2,stool,bedside; eq,2,stool,round; eq,1,bookshelf,wall_mounted; eq,1,desk_lamp,small","eq,2,beside,0,bed,stool; eq,1,inside,0,bookshelf,book; eq,1,on,0,stool,desk_lamp","eq,1,on,bookshelf,wall",medium,single_room
218,"Eclectic suite featuring a four-poster canopy bed, a tall open wardrobe near the corner, a vanity table with mirror, a simple stool, and a scented candle sitting on the vanity.","eq,1,bed; eq,1,wardrobe; eq,1,vanity_table; eq,1,mirror; eq,1,stool; eq,1,candle","eq,1,bed,four_poster; eq,1,bed,canopy; eq,1,wardrobe,tall; eq,1,wardrobe,open; eq,1,stool,simple; eq,1,candle,scented","eq,1,on,0,vanity_table,mirror; eq,1,next,0,vanity_table,stool; eq,1,on,0,vanity_table,candle","eq,1,corner,wardrobe,room",medium,single_room
219,"Urban loft bedroom with a futon sofa bed against the wall, a sleek nightstand holding a ceramic vase, a minimalist floor lamp next to the sofa, and two magazines on the nightstand.","eq,1,sofa_bed; eq,1,nightstand; eq,1,vase; eq,1,floor_lamp; eq,2,magazine","eq,1,sofa_bed,futon; eq,1,nightstand,sleek; eq,1,vase,ceramic; eq,1,floor_lamp,minimalist","eq,1,on,0,nightstand,vase; eq,2,on,0,nightstand,magazine; eq,1,next,0,sofa_bed,floor_lamp","eq,1,against,sofa_bed,wall",medium,single_room
220,"A sleek modern bedroom features a queen bed with a tufted headboard, two floating nightstands, a low dresser against the opposite wall, and a bookshelf. A ceramic table lamp and a small potted succulent rest on the nightstands, while a digital alarm clock rest on the dresser.","eq,1,bed; eq,2,nightstand; eq,1,dresser; eq,1,bookshelf; eq,1,table_lamp; eq,1,potted_succulent; eq,1,alarm_clock","eq,1,bed,queen; eq,1,bed,tufted_headboard; eq,2,nightstand,floating; eq,1,dresser,low; eq,1,table_lamp,ceramic; eq,1,potted_succulent,small; eq,1,alarm_clock,digital","eq,1,opposite,0,bed,dresser; eq,1,on,0,nightstand,table_lamp; eq,1,on,0,nightstand,potted_succulent; eq,1,on,0,dresser,alarm_clock","eq,1,against,dresser,wall",medium,single_room
221,"In a cozy bohemian bedroom, a twin bed with a rattan bench at its foot sits alongside a floating shelf and a sliding-door wardrobe. A scented candle, a paperback book, and a woven pendant lamp complete the ensemble.","eq,1,bed; eq,1,bench; eq,1,shelf; eq,1,wardrobe; eq,1,candle; eq,1,book; eq,1,pendant_lamp","eq,1,bed,twin; eq,1,bench,rattan; eq,1,shelf,floating; eq,1,wardrobe,sliding_door; eq,1,candle,scented; eq,1,book,paperback; eq,1,pendant_lamp,woven","eq,1,foot,0,bed,bench; eq,1,next,0,bed,shelf; eq,1,next,0,bed,wardrobe","eq,1,on,shelf,wall; eq,1,hang,pendant_lamp,ceiling",medium,single_room
222,"Minimalist quarters include a futon sofa bed facing a simple writing desk and an armless chair, complemented by a slim tall dresser. A few magazines, a gilt desk lamp, and a geometric throw pillow add finishing touches.","eq,1,sofa_bed; eq,1,desk; eq,1,chair; eq,1,dresser; ge,3,magazine; eq,1,desk_lamp; eq,1,pillow","eq,1,sofa_bed,futon; eq,1,desk,writing; eq,1,desk,simple; eq,1,chair,armless; eq,1,dresser,slim; eq,1,dresser,tall; eq,1,desk_lamp,gilt; eq,1,pillow,geometric; eq,1,pillow,throw","eq,1,facing,0,desk,sofa_bed; eq,1,next,0,desk,chair",,medium,single_room
